	515rcbc32	515rcbc25	515rcbc16	515rcbc34	515rcbc29	515rcbc11	515rcbc31	515rcbc33	515rcbc10	515rcbc9	515rcbc8	515rcbc12	515rcbc27	515rcbc19	515rcbc30	515rcbc23	515rcbc22	515rcbc28	515rcbc37	515rcbc17	515rcbc14	515rcbc35	515rcbc18	515rcbc13	515rcbc36	515rcbc15	515rcbc24	515rcbc21	515rcbc26	515rcbc20
515rcbc32	0.0	7765.06761078	8760.1358437	7511.91992769	7545.58003072	3174.61808727	5232.76361018	6891.46080305	7484.9231793	5620.23647189	6132.01198629	79289.1050523	7131.10825889	5357.25965396	7889.50055453	6093.76328717	10982.8409804	6264.41936655	6987.18097662	7245.57409734	7618.9137021	9203.56387493	7768.72866047	7793.88215205	8816.37856492	8304.79078605	12263.693367	8636.6099252	11451.2129489	8633.25494816
515rcbc25	7765.06761078	0.0	8183.40974167	13245.5756387	12112.380567	8308.83607974	9039.35218918	6505.55969921	11260.5904819	11244.598481	11574.7140785	80215.1322445	12918.025778	10787.449745	12833.2291338	11793.4827765	13249.0933652	11096.908984	12794.287358	12498.4226605	10778.7803113	14850.6116036	13391.6716656	13662.4386549	13880.9679057	13730.3428581	16475.7072079	14066.0723018	15948.5303085	13879.9842219
515rcbc16	8760.1358437	8183.40974167	0.0	14238.6490581	11042.3778236	8658.16158315	7246.11502807	6159.41523198	8931.44271661	12155.1129982	13738.0079706	76791.4416455	14003.7946643	9782.21861338	11603.8294972	12698.8410101	10931.9199595	10349.4491641	14106.8696031	12504.7559752	10179.53997	15398.1627475	13394.7757353	14739.4135908	15979.9523466	14159.9239405	14491.2464267	14296.586061	14781.619803	16174.7763818
515rcbc34	7511.91992769	13245.5756387	14238.6490581	0.0	6509.78501949	7034.44503852	9463.98996196	11469.5667311	9595.76229385	3421.84350899	4040.12475055	79985.1073701	2517.61633296	6497.43056908	7350.4997109	3626.67506126	12121.1569167	5804.56053461	2752.0946568	3649.94287627	8199.75176454	5387.49561485	3194.39759579	2748.84230177	5398.61778606	3797.06452408	10054.8601184	4999.70619137	7884.92961288	4389.54188954
515rcbc29	7545.58003072	12112.380567	11042.3778236	6509.78501949	0.0	6893.81737501	7824.27102036	9342.36297732	6786.07065981	6041.41771441	8188.35948161	76893.480881	6706.77262176	5438.08964619	6160.54583621	6514.56452881	9424.92005271	4817.84204805	7245.20972781	4593.64365183	6944.47435016	7795.5819539	5169.7356799	7481.20665401	9837.69937536	6053.40152311	8506.84447959	7153.57442122	7628.86544645	9729.99799589
515rcbc11	3174.61808727	8308.83607974	8658.16158315	7034.44503852	6893.81737501	0.0	4864.59299428	6824.29307694	7272.58475372	5075.25309714	6038.19915207	78859.313261	6687.24405118	4980.21375043	7673.18610487	5538.74254682	10737.166386	5886.45088317	6371.26941826	6466.79132182	7273.80148203	9048.29608269	7341.40388482	7461.78524215	8569.15567603	7800.22333014	11872.8220319	8266.51032782	11055.0478063	8415.303619
515rcbc31	5232.76361018	9039.35218918	7246.11502807	9463.98996196	7824.27102036	4864.59299428	0.0	7229.74985736	6558.61997679	7704.94198551	9077.86010027	77066.039557	8960.76168637	5243.46641069	8804.5233829	8018.91887975	9766.17678521	6930.07481922	9154.26004656	8369.32010381	8056.3822526	10744.7968338	8795.22870652	9534.6086443	11360.0741195	9327.61668381	11314.0185611	9593.70137121	11604.2763238	11437.5629397
515rcbc33	6891.46080305	6505.55969921	6159.41523198	11469.5667311	9342.36297732	6824.29307694	7229.74985736	0.0	8752.97086708	9717.52581679	10992.6000109	78882.6955802	11417.6589982	8623.5855072	10450.6715095	10458.4742195	9814.71711258	8418.92843538	11544.9580337	10088.7975498	7499.51371757	13326.2797509	11064.3887766	12305.8109444	13128.0043038	11635.8043126	13385.8431561	12214.2171669	13061.7696351	13165.7024499
515rcbc10	7484.9231793	11260.5904819	8931.44271661	9595.76229385	6786.07065981	7272.58475372	6558.61997679	8752.97086708	0.0	8300.29342855	10275.8832224	75270.6898135	9292.66032953	5825.21896584	7124.2772265	8530.25193063	9304.35591538	6445.72222486	9819.01201751	7842.72535539	8347.00910506	10323.6216998	8173.63774583	9873.33499887	12289.5794883	8941.90488654	10260.8141977	9010.13673592	10181.4266682	12341.1983211
515rcbc9	5620.23647189	11244.598481	12155.1129982	3421.84350899	6041.41771441	5075.25309714	7704.94198551	9717.52581679	8300.29342855	0.0	3449.60331053	79726.0881142	3363.40586311	5180.38463823	6452.79745537	2527.02611779	12007.57894	5077.82512499	3094.01422104	4250.50796964	7872.24961494	5643.87437847	4635.77275112	3846.37062697	5695.17383405	5346.84299377	11049.261016	6095.04577505	9211.74608855	4958.27117048
515rcbc8	6132.01198629	11574.7140785	13738.0079706	4040.12475055	8188.35948161	6038.19915207	9077.86010027	10992.6000109	10275.8832224	3449.60331053	0.0	81135.9800027	3557.79454157	6986.57555602	8439.51278215	3361.07036523	13600.2467257	6979.57040225	2860.48265158	5941.69580171	9256.54552195	6674.32790624	6174.3535694	3936.46668981	4437.62639257	6355.38551152	12833.1746657	6869.52458326	10956.8314307	3082.96707735
515rcbc12	79289.1050523	80215.1322445	76791.4416455	79985.1073701	76893.480881	78859.313261	77066.039557	78882.6955802	75270.6898135	79726.0881142	81135.9800027	0.0	79381.4403434	76869.2471994	78030.8346937	78975.9166265	73916.6892522	77235.3741365	80002.1787453	78542.3358451	76952.6152512	79541.0439836	78219.5448913	79397.1078503	81951.177911	78681.3495309	74812.6114435	77411.4880428	77276.3952834	82362.5763378
515rcbc27	7131.10825889	12918.025778	14003.7946643	2517.61633296	6706.77262176	6687.24405118	8960.76168637	11417.6589982	9292.66032953	3363.40586311	3557.79454157	79381.4403434	0.0	5959.44208798	7688.08779867	2580.63093061	12198.2200751	5614.44396178	2214.76793367	4156.93432712	8363.58362187	5829.86749421	3910.01355496	2061.77156834	5122.7149052	3954.8171892	10646.2991692	4894.79682929	9148.77538253	4159.30907724
