#SampleID	Description	country	Env	SourceSink
632.Agricultural.soil.soy	Agricultural soil - soy, Ontario	GAZ:Canada	agricultural feature	source
632.Agricultural.soil.wheat	Agricultural soil - wheat, Ontario	GAZ:Canada	agricultural feature	source
632.Arctic.Tundra.1	Arctic Tundra 1, Darring Lake	GAZ:Canada	tundra	source
632.Arctic.Tundra.2	Arctic Tundra 2	GAZ:Canada	clay soil	source
632.Boreal.coniferous.forest	Boreal coniferous forest, Alberta	GAZ:Canada	forest soil	source
632.Northern.peatlands	Northern peatlands, Old Crow	GAZ:Canada	peatland	source
632.Tar.sand.1	Tar sand 1, Alberta	GAZ:Canada	oil contaminated soil	source
632.Tar.sand.2	Tar sand 2, Alberta	GAZ:Canada	oil contaminated soil	source
632.Temperate.deciduous.forest	Temperate deciduous forest, Ontario	GAZ:Canada	forest soil	source
632.Temperate.rain.forest	Temperate rain forest, British Columbia	GAZ:Canada	forest soil	source
632.Wetland.soil	Wetland soil, Mt. St. Hilaire	GAZ:Canada	wetland	source
659.NZFACE.R1.Browntop	soil sample from Ring 1 of NZ FACE expt . In ring 1 pasture atmosphere is enriched with 475 ppm CO2 throughout photoperiod and throughout photoperiod since 1997. No warming	GAZ:New Zealand	pasture	source
659.NZFACE.R1.control.19.4	soil sample from Ring 1 of NZ FACE expt . In ring 1 pasture atmosphere is enriched with 475 ppm CO2 throughout photoperiod and throughout photoperiod since 1997. area exposed to warming treatment since 2009	GAZ:New Zealand	pasture	source
659.NZFACE.R1.Ryegrass.26.4	soil sample from rhizosphere soil of ryegrass from Ring 1 of NZ FACE expt . In ring 1 pasture atmosphere is enriched with 475 ppm CO2 throughout photoperiod and throughout photoperiod since 1997. area exposed to warming treatment since 2009	GAZ:New Zealand	pasture	source
659.NZFACE.R1.warm	soil sample from rhizosphere soil of browntop grass from Ring 1 of NZ FACE expt . In ring 1 pasture atmosphere is enriched with 475 ppm CO2 throughout photoperiod and throughout photoperiod since 1997. area exposed to warming treatment since 2009	GAZ:New Zealand	pasture	source
659.NZFACE.R2.Browntop	soil sample from Ring 2 of NZ FACE expt . In ring 2 pasture atmosphere is enriched with 475 ppm CO2 throughout photoperiod and throughout photoperiod since 1997. No warming	GAZ:New Zealand	pasture	source
659.NZFACE.R2.control.23.4	soil sample from Ring 2 of NZ FACE expt . In ring 2 pasture atmosphere is enriched with 475 ppm CO2 throughout photoperiod and throughout photoperiod since 1997. area exposed to warming treatment since 2009	GAZ:New Zealand	pasture	source
659.NZFACE.R2.Ryegrass.24.4	soil sample from rhizosphere soil of ryegrass from Ring 2 of NZ FACE expt . In ring 2 pasture atmosphere is enriched with 475 ppm CO2 throughout photoperiod and throughout photoperiod since 1997. area exposed to warming treatment since 2009	GAZ:New Zealand	pasture	source
659.NZFACE.R3.Browntop	soil sample from rhizosphere soil of browntop grass from Ring 2 of NZ FACE expt . In ring 2 pasture atmosphere is enriched with 475 ppm CO2 throughout photoperiod and throughout photoperiod since 1997. area exposed to warming treatment since 2009	GAZ:New Zealand	pasture	source
