	515rcbc32	515rcbc25	515rcbc16	515rcbc34	515rcbc29	515rcbc11	515rcbc31	515rcbc33	515rcbc10	515rcbc9	515rcbc8	515rcbc12	515rcbc27	515rcbc19	515rcbc30	515rcbc23	515rcbc22	515rcbc28	515rcbc37	515rcbc17	515rcbc14	515rcbc35	515rcbc18	515rcbc13	515rcbc36	515rcbc15	515rcbc24	515rcbc21	515rcbc26	515rcbc20
515rcbc32	3687	2340	2866	1919	2760	2663	2657	2454	2599	2236	2211	2953	2110	2845	2265	2329	2495	2413	2244	2293	2334	1986	2293	1914	1618	2136	2413	1973	1951	294
515rcbc25	2340	3792	2625	1695	2549	2328	2406	2260	2316	1900	1949	2786	1851	2545	1938	2006	2328	2162	1921	2044	2124	1652	1992	1673	1443	1928	2151	1820	1744	272
515rcbc16	2866	2625	5186	2360	3449	3242	3461	2968	3302	2768	2503	4027	2659	3615	2849	2898	3082	3013	2796	2905	2847	2471	2856	2303	1965	2622	3041	2428	2456	324
515rcbc34	1919	1695	2360	3436	2806	2171	2302	2400	2523	2182	1678	2928	2336	2572	2417	2195	2650	2526	2258	2593	2527	2198	2746	2215	1355	2475	2820	2384	2551	303
515rcbc29	2760	2549	3449	2806	5460	3165	3259	3277	3481	2946	2398	4366	2931	3724	3208	3056	3510	3418	3021	3359	3222	2812	3358	2632	1877	3000	3499	2857	2966	335
515rcbc11	2663	2328	3242	2171	3165	4324	3044	2776	2947	2624	2399	3612	2505	3248	2651	2739	2864	2813	2721	2675	2668	2301	2657	2171	1821	2452	2850	2255	2225	313
515rcbc31	2657	2406	3461	2302	3259	3044	4802	2842	3167	2641	2367	3869	2672	3425	2705	2734	3004	2862	2687	2836	2789	2399	2764	2296	1913	2581	2978	2438	2391	328
515rcbc33	2454	2260	2968	2400	3277	2776	2842	4270	2983	2548	2116	3689	2631	3186	2644	2664	3145	2979	2623	2877	2983	2290	2857	2381	1733	2728	3015	2543	2479	330
515rcbc10	2599	2316	3302	2523	3481	2947	3167	2983	4898	2770	2282	3974	2767	3471	2997	2855	3119	3072	2764	3092	2927	2637	3063	2474	1814	2725	3176	2596	2741	328
515rcbc9	2236	1900	2768	2182	2946	2624	2641	2548	2770	3692	2088	3220	2438	2925	2651	2626	2613	2695	2570	2677	2530	2341	2675	2184	1612	2361	2715	2232	2239	312
515rcbc8	2211	1949	2503	1678	2398	2399	2367	2116	2282	2088	3185	2557	1899	2448	2067	2134	2124	2129	2085	2026	1988	1806	2030	1688	1483	1873	2118	1688	1697	279
