# Constructed from biom file
#OTU ID	515rcbc32	515rcbc25	515rcbc16	515rcbc34	515rcbc29	515rcbc11	515rcbc31	515rcbc33	515rcbc10	515rcbc9	515rcbc8	515rcbc12	515rcbc27	515rcbc19	515rcbc30	515rcbc23	515rcbc22	515rcbc28	515rcbc37	515rcbc17	515rcbc14	515rcbc35	515rcbc18	515rcbc13	515rcbc36	515rcbc15	515rcbc24	515rcbc21	515rcbc26	515rcbc20
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia	0.0	0.0	0.0	0.0	0.0	1.01721121374e-05	0.0	0.0	0.0	0.0	0.0	6.72277946594e-07	0.0	0.0	7.3749032044e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Diapherotrites;D_2__Micrarchaeia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.16243224308e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92534784618e-05	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01277416245e-05	0.0	1.61346707183e-05	0.0	1.35381199613e-05	7.3749032044e-06	2.6747622805e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.47282468901e-06	4.51916124367e-05	0.0	2.62188399172e-05	0.0	0.0	7.3749032044e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.80909803645e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata	0.0	0.0	0.0	0.0	1.80028804609e-05	0.0	0.0	0.0	5.47282468901e-06	1.50638708122e-05	0.0	2.68911178638e-06	0.0	0.0	0.00078911464287	0.0	0.0	8.67558516822e-06	0.0	0.000138593735563	8.01205012339e-06	5.66289895123e-05	7.04727842916e-05	0.0	0.0	3.73915644631e-05	5.38024910553e-06	0.0	0.000166863480002	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia	3.24226180183e-05	0.0	0.0	6.39969281474e-05	1.20019203072e-05	3.05163364121e-05	0.0	3.80916103228e-05	0.0	0.0	2.37366184813e-05	0.0	0.0	6.76905998064e-06	0.0	4.01214342075e-05	1.98524959551e-05	0.0	7.99539465268e-05	0.0	3.20482004935e-05	0.0	3.52363921458e-05	1.67518217606e-05	0.0	0.0	5.91827401609e-05	6.8331098337e-05	6.41782615393e-06	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Group 1.1c	1.08075393394e-05	7.90270193379e-05	2.88690269983e-05	0.0	6.00096015362e-06	0.0	0.0	0.0	0.0	0.0	7.1209855444e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria	0.00699247795262	0.00531061569951	0.0300122404674	0.0420779802569	0.0307609217475	0.0113215608089	0.00884776072781	0.017693552995	0.015504512344	0.0495601349723	0.0127465641245	0.00161615618361	0.0185632549269	0.018872139226	0.0641469080718	0.0321238949888	0.0160705954756	0.0445317786685	0.021363694512	0.0357109858634	0.0276095247252	0.0324710625864	0.0328403174799	0.0220118937935	0.00494170966773	0.0256038737661	0.0585747720119	0.0138028818641	0.0672203111362	0.0199081163859
D_0__Bacteria;D_1__Acidobacteria;D_2__AT-s3-28	0.000270188483486	6.32216154703e-05	8.66070809949e-05	0.000143993088332	0.000162025924148	0.000213614354885	0.000140564601148	0.000152366441291	8.75651950241e-05	0.000120510966498	0.000213629566332	5.98327372469e-05	0.000339054884509	0.000182764619477	0.000154872967292	9.36166798176e-05	9.92624797753e-05	0.000225565214374	0.000143917103748	0.000194031229788	0.000160241002468	0.000249167553854	0.000220227450911	0.000100510930564	8.19067900729e-05	0.00024304516901	0.000209829715116	0.000153744971258	0.000109103044617	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia	0.0537242780564	0.115363642829	0.0282916464583	0.00361582644033	0.00544887181949	0.0153700614396	0.0216157119988	0.00811351299876	0.00894806836653	0.00513677994698	0.116523060125	0.00836179309974	0.00361658543477	0.0125362990841	0.00322283270032	0.00764982012224	0.00405487229882	0.00419898322142	0.00470129205578	0.00257784348147	0.00401403711182	0.00351099734976	0.00258987482272	0.00405394086607	0.00682556583941	0.00307545617709	0.00354558416055	0.00385216566875	0.00226549263234	0.00918836140888
D_0__Bacteria;D_1__Acidobacteria;D_2__Aminicenantia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0945649378e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4)	0.0314391319384	0.0367949802037	0.0314383704012	0.0399660816281	0.0327532405185	0.0308418440005	0.0301432978017	0.0306447005047	0.0343583933976	0.0621384671005	0.0227871537421	0.0420180439401	0.0253302253302	0.0446893339922	0.0393377336922	0.0503925213647	0.0412038553547	0.0425277184946	0.037914161443	0.0248359974129	0.0318398871903	0.115307948445	0.0424158070455	0.0517296255968	0.00761733147678	0.0287167215076	0.0372528448067	0.0420663324137	0.0476395235406	0.0245022970904
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae	0.00354487290334	0.00318478887932	0.00108547541514	0.00417579956162	0.00337253960634	0.00265492126785	0.000866815040412	0.00370440910389	0.00209609185589	0.00329898770788	0.00403522514183	0.000724715626429	0.00258529349438	0.00236240193324	0.00526568088794	0.00337020047343	0.00334514556843	0.00182187288533	0.00879493411795	0.00221749976901	0.00254783193924	0.00455297075679	0.00398171231248	0.00437222547952	0.00046413847708	0.00560873466946	0.00404056707826	0.00521878763549	0.00315757046773	0.0
