#OTU ID	515rcbc32	515rcbc25	515rcbc16	515rcbc34	515rcbc29	515rcbc11	515rcbc31	515rcbc33	515rcbc10	515rcbc9	515rcbc8	515rcbc12	515rcbc27	515rcbc19	515rcbc30	515rcbc23	515rcbc22	515rcbc28	515rcbc37	515rcbc17	515rcbc14	515rcbc35	515rcbc18	515rcbc13	515rcbc36	515rcbc15	515rcbc24	515rcbc21	515rcbc26	515rcbc20
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;Ambiguous_taxa;Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	1.01721121374e-05	0.0	0.0	0.0	0.0	0.0	6.72277946594e-07	0.0	0.0	7.3749032044e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Diapherotrites;D_2__Micrarchaeia;D_3__uncultured archaeon;D_4__uncultured archaeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.16243224308e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92534784618e-05	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01277416245e-05	0.0	1.54623927717e-05	0.0	1.35381199613e-05	7.3749032044e-06	2.6747622805e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanothermobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.72277946594e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanocellales;D_4__Methanocellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.51916124367e-05	0.0	6.72277946594e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales;D_4__Methanocorpusculaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.80909803645e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales;D_4__Methanomicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.72277946594e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanosarcinales;D_4__Methanoperedenaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.47282468901e-06	0.0	0.0	1.07564471455e-05	0.0	0.0	7.3749032044e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanosarcinales;D_4__Methanosarcinaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41178368785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine Group II;Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92534784618e-05	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine Group II;D_4__uncultured archaeon	0.0	0.0	0.0	0.0	1.80028804609e-05	0.0	0.0	0.0	0.0	1.50638708122e-05	0.0	0.0	0.0	0.0	0.000427744385855	0.0	0.0	8.67558516822e-06	0.0	0.000138593735563	8.01205012339e-06	5.66289895123e-05	7.04727842916e-05	0.0	0.0	3.73915644631e-05	0.0	0.0	0.00014761000154	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Methanomassiliicoccales;D_4__Methanomassiliicoccaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68911178638e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38024910553e-06	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Methanomassiliicoccales;D_4__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.47282468901e-06	0.0	0.0	0.0	0.0	0.0	0.000361370257015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__Candidatus Nomurabacteria bacterium RIFCSPLOWO2_02_FULL_42_17;D_4__Candidatus Nomurabacteria bacterium RIFCSPLOWO2_02_FULL_42_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.54138729212e-06	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__uncultured archaeon;D_4__uncultured archaeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38024910553e-06	1.70827745842e-05	0.0	0.0
D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia;D_3__uncultured euryarchaeote;D_4__uncultured euryarchaeote	3.24226180183e-05	0.0	0.0	6.39969281474e-05	1.20019203072e-05	3.05163364121e-05	0.0	3.80916103228e-05	0.0	0.0	2.37366184813e-05	0.0	0.0	6.76905998064e-06	0.0	4.01214342075e-05	1.98524959551e-05	0.0	7.99539465268e-05	0.0	3.20482004935e-05	0.0	3.52363921458e-05	1.67518217606e-05	0.0	0.0	5.38024910553e-05	4.27069364606e-05	6.41782615393e-06	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Group 1.1c;Ambiguous_taxa;Ambiguous_taxa	1.08075393394e-05	7.90270193379e-05	5.77380539966e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1209855444e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Group 1.1c;D_3__uncultured archaeon;D_4__uncultured archaeon	0.0	0.0	2.30952215987e-05	0.0	6.00096015362e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrososphaerales;D_4__Nitrososphaeraceae	0.00699247795262	0.00523158868017	0.0289556340793	0.0420779802569	0.0307369179069	0.0113215608089	0.0079809456874	0.0176745071898	0.015504512344	0.0495601349723	0.00671746303022	0.00161615618361	0.0185632549269	0.018872139226	0.0641469080718	0.0321238949888	0.0160705954756	0.0445317786685	0.021363694512	0.0357109858634	0.0276095247252	0.0324710625864	0.0328403174799	0.0219951419717	0.00491440740437	0.0256038737661	0.0585747720119	0.0138028818641	0.0672203111362	0.0199081163859
