# Constructed from biom file
#OTU ID	515rcbc32	515rcbc25	515rcbc16	515rcbc34	515rcbc29	515rcbc11	515rcbc31	515rcbc33	515rcbc10	515rcbc9	515rcbc8	515rcbc12	515rcbc27	515rcbc19	515rcbc30	515rcbc23	515rcbc22	515rcbc28	515rcbc37	515rcbc17	515rcbc14	515rcbc35	515rcbc18	515rcbc13	515rcbc36	515rcbc15	515rcbc24	515rcbc21	515rcbc26	515rcbc20
Arch;P:Crenarchaeota;C:Bathyarchaeia;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	1.01721121374e-05	0.0	0.0	0.0	0.0	0.0	6.72277946594e-07	0.0	0.0	7.3749032044e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arch;P:Diapherotrites;C:Micrarchaeia;O:uncultured archaeon;D_4__uncultured archaeon;D_5__uncultured archaeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.16243224308e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92534784618e-05	0.0
Arch;P:Euryarchaeota;C:Methanobacteria;O:Methanobacteriales;D_4__Methanobacteriaceae;D_5__Methanobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54623927717e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arch;P:Euryarchaeota;C:Methanobacteria;O:Methanobacteriales;D_4__Methanobacteriaceae;D_5__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3749032044e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arch;P:Euryarchaeota;C:Methanobacteria;O:Methanobacteriales;D_4__Methanobacteriaceae;D_5__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01277416245e-05	0.0	0.0	0.0	1.35381199613e-05	0.0	2.6747622805e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arch;P:Euryarchaeota;C:Methanobacteria;O:Methanobacteriales;D_4__Methanothermobacteraceae;D_5__Methanothermobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.72277946594e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arch;P:Euryarchaeota;C:Methanomicrobia;O:Methanocellales;D_4__Methanocellaceae;D_5__Methanocella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.72277946594e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arch;P:Euryarchaeota;C:Methanomicrobia;O:Methanocellales;D_4__Methanocellaceae;D_5__Rice Cluster I	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.51916124367e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arch;P:Euryarchaeota;C:Methanomicrobia;O:Methanomicrobiales;D_4__Methanocorpusculaceae;D_5__Methanocorpusculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.80909803645e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arch;P:Euryarchaeota;C:Methanomicrobia;O:Methanomicrobiales;D_4__Methanomicrobiaceae;D_5__Methanoculleus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.72277946594e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
