candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
AB362824.1.1519 AB362824.1.1519	1519		1143228	88.70	1409
AB535715.1.1447 AB535715.1.1447	1447		248393	86.20	1352
AB558493.1.1489 AB558493.1.1489	1489		657046	86.80	1384
AB630478.1.1487 AB630478.1.1487	1487		3754496	86.70	1487
AB634831.1.1513 AB634831.1.1513	1504		3843950	93.90	1500
AB637271.1.1501 AB637271.1.1501	1501		829035	94.20	1501
AB672268.1.1422 AB672268.1.1422	1422		200466	89.90	1420
AB696384.1.1351 AB696384.1.1351	1351		3807100	87.90	1351
AB742086.1.1446 AB742086.1.1446	1446		4483633	100.00	1443
AB759664.1.1518 AB759664.1.1518	1514		207114	87.80	1426
AF190460.1.1521 AF190460.1.1521	1521		968354	91.90	1385
AF465644.1.1453 AF465644.1.1453	1453		904322	87.60	1347
AJ318105.1.1476 AJ318105.1.1476	1476		18516	100.00	1476
AJ488504.1.1486 AJ488504.1.1486	1467		4403	91.80	1423
AJ581628.1.1456 AJ581628.1.1456	1456		3808211	90.50	1444
AM162300.1.1445 AM162300.1.1445	1445		885978	88.20	1374
AM935176.1.1407 AM935176.1.1407	1407		800453	85.80	1399
AM991253.1.1469 AM991253.1.1469	1469		1107824	89.20	1469
AMQH01000037.83.1573 AMQH01000037.83.1573	1491		610967	91.00	1491
AY050596.1.1455 AY050596.1.1455	1455		668513	86.40	1455
AY102332.1.1331 AY102332.1.1331	1331		4368285	84.90	1331
AY188317.1.1507 AY188317.1.1507	1507		651100	87.10	1462
AY328731.1.1443 AY328731.1.1443	1432		90624	93.00	1296
AY649436.1.1411 AY649436.1.1411	1386		313427	91.10	1386
AY913290.1.1474 AY913290.1.1474	1474		202566	87.70	1439
AY921914.1.1342 AY921914.1.1342	1342		824826	91.20	1341
AYMY01232318.18741.20294 AYMY01232318.18741.20294	1554		3807100	86.70	1521
BBID01001182.73.1567 BBID01001182.73.1567	1495		837712	88.90	1426
BD359512.4.1512 BD359512.4.1512	1509		33696	90.70	1472
CP002542.2752771.2754283 CP002542.2752771.2754283	1505		165732	90.10	1426
CP010836.1.5191536 CP010836.1.5191536	1469		926588	93.10	1308
CU918708.1.1283 CU918708.1.1283	1283		202080	88.10	1282
DI166858.1.1503 DI166858.1.1503	1503		529501	90.10	1379
